Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Story, WY",Jun-22,$495K,5.30%,5.30%,4,33.30%,-42.90%,1,-83.30%,-66.70%,5,-37.50%,-16.70%,59,23,7,103.40%,3.40%,27.60%
"Story, WY",Jul-22,$263K,-47.00%,-47.40%,2,-50.00%,-33.30%,2,100.00%,0.00%,5,0.00%,-16.70%,134,75,-200,82.90%,-20.50%,
"Story, WY",Aug-22,$350K,33.30%,2.80%,3,50.00%,200.00%,1,-50.00%,0.00%,3,-40.00%,-25.00%,77,-57,29,92.90%,9.90%,
"Story, WY",Sep-22,$729K,108.30%,5.80%,1,-66.70%,0.00%,,,,2,-33.30%,-50.00%,64,-13,-14,,,
"Story, WY",Jan-23,$110K,,,1,,,,,,3,,,34,,,110.00%,,
"Story, WY",May-23,"$1,080K",,129.80%,1,,-66.70%,1,,-83.30%,1,,-87.50%,389,,353,108.60%,,8.60%
"Story, WY",Jun-23,$180K,-83.30%,-63.60%,1,0.00%,-75.00%,4,300.00%,300.00%,5,400.00%,0.00%,,,,100.00%,-8.60%,-3.40%
"Story, WY",Aug-23,$235K,,-32.90%,1,,-66.70%,3,,200.00%,8,,166.70%,65,,-12,100.00%,,7.10%
"Story, WY",Oct-23,$562K,,,1,,,1,,,7,,,14,,,97.70%,,
"Story, WY",Dec-23,$403K,,,3,,,,,,2,,,45,,,93.60%,,
"Story, WY",May-24,$585K,,-45.80%,1,,0.00%,6,,500.00%,12,,1100.00%,66,,-323,90.00%,,-18.60%
"Story, WY",Jun-24,$350K,-40.20%,94.40%,5,400.00%,400.00%,2,-66.70%,-50.00%,11,-8.30%,120.00%,56,-10,,92.80%,2.80%,-7.20%
"Sublette County, WY",Apr-13,$116K,,,1,,,6,,,28,,,566,,,122.20%,,
"Sublette County, WY",Jun-13,$218K,,,1,,,7,,,37,,,79,,,96.90%,,
"Sublette County, WY",Oct-13,$200K,,,7,,,11,,,56,,,175,,,88.70%,,
"Sublette County, WY",Nov-13,$155K,-22.60%,,10,42.90%,,12,9.10%,,59,5.40%,,140,-35,,,,
"Sublette County, WY",Dec-13,$270K,74.40%,,12,20.00%,,9,-25.00%,,59,0.00%,,203,63,,,,
"Sublette County, WY",Jan-14,$185K,-31.50%,,6,-50.00%,,5,-44.40%,,58,-1.70%,,94,-109,,,,
"Sublette County, WY",Feb-14,$193K,4.30%,,8,33.30%,,12,140.00%,,62,6.90%,,90,-4,,,,
"Sublette County, WY",Mar-14,$230K,19.20%,,8,0.00%,,8,-33.30%,,59,-4.80%,,167,77,,,,
"Sublette County, WY",Apr-14,$157K,-31.50%,35.70%,10,25.00%,900.00%,9,12.50%,50.00%,58,-1.70%,107.10%,211,44,-355,,,
"Sublette County, WY",May-14,$177K,12.40%,,14,40.00%,,15,66.70%,,58,0.00%,,165,-46,,,,
"Sublette County, WY",Jun-14,$250K,41.00%,14.40%,14,0.00%,1300.00%,12,-20.00%,71.40%,57,-1.70%,54.10%,125,-40,46,,,
