Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Ashaway, RI",Jan-12,$63K,,-57.30%,1,,0.00%,1,,,10,,0.00%,179,,90,87.50%,,-10.90%
"Ashaway, RI",Feb-12,$184K,192.10%,,1,0.00%,,7,600.00%,,15,50.00%,,46,-133,,80.30%,-7.20%,
"Ashaway, RI",May-12,$180K,,-23.40%,1,,0.00%,3,,-25.00%,18,,63.60%,135,,102,95.00%,,-7.20%
"Ashaway, RI",Jun-12,$212K,17.80%,,1,0.00%,,2,-33.30%,,18,0.00%,,82,-53,,88.40%,-6.60%,
"Ashaway, RI",Jul-12,$233K,9.90%,9.60%,3,200.00%,50.00%,2,0.00%,-33.30%,17,-5.60%,41.70%,84,2,-194,96.00%,7.60%,-1.90%
"Ashaway, RI",Sep-12,$204K,,-1.00%,5,,66.70%,3,,200.00%,14,,7.70%,179,,-29,97.70%,,9.10%
"Ashaway, RI",Oct-12,$164K,-19.80%,30.80%,2,-60.00%,100.00%,2,-33.30%,,14,0.00%,16.70%,111,-68,12,91.40%,-6.40%,2.00%
"Ashaway, RI",Nov-12,$135K,-17.70%,-0.40%,4,100.00%,300.00%,4,100.00%,100.00%,12,-14.30%,0.00%,81,-30,77,95.40%,4.10%,-4.60%
"Ashaway, RI",Dec-12,$118K,-12.30%,,1,-75.00%,,,,,10,-16.70%,,228,147,,69.50%,-26.00%,
"Ashaway, RI",Jan-13,$80K,-32.20%,27.00%,1,0.00%,0.00%,4,,300.00%,11,10.00%,10.00%,218,-10,39,82.10%,12.60%,-5.40%
"Ashaway, RI",Mar-13,$56K,,,1,,,2,,,12,,,16,,,100.00%,,
"Ashaway, RI",Apr-13,$305K,445.60%,,3,200.00%,,6,200.00%,,13,8.30%,,135,119,,96.50%,-3.50%,
"Ashaway, RI",May-13,$143K,-53.30%,-20.80%,2,-33.30%,100.00%,3,-50.00%,0.00%,14,7.70%,-22.20%,12,-123,-123,93.40%,-3.10%,-1.60%
"Ashaway, RI",Jun-13,$155K,8.80%,-26.90%,4,100.00%,300.00%,4,33.30%,100.00%,17,21.40%,-5.60%,63,51,-19,91.40%,-2.00%,3.10%
"Ashaway, RI",Jul-13,$123K,-21.00%,-47.40%,1,-75.00%,-66.70%,1,-75.00%,-50.00%,17,0.00%,0.00%,62,-1,-22,94.30%,2.90%,-1.70%
"Ashaway, RI",Aug-13,$119K,-2.90%,,2,100.00%,,4,300.00%,,16,-5.90%,,299,237,,96.70%,2.40%,
"Ashaway, RI",Sep-13,$184K,54.60%,-9.80%,2,0.00%,-60.00%,3,-25.00%,0.00%,16,0.00%,14.30%,66,-233,-113,92.50%,-4.30%,-5.30%
"Ashaway, RI",Oct-13,$230K,24.70%,40.40%,3,50.00%,50.00%,4,33.30%,100.00%,17,6.30%,21.40%,119,53,8,89.10%,-3.40%,-2.30%
"Ashaway, RI",Nov-13,$310K,35.10%,130.50%,1,-66.70%,-75.00%,2,-50.00%,-50.00%,17,0.00%,41.70%,138,19,57,91.20%,2.10%,-4.20%
"Ashaway, RI",Jan-14,$180K,,125.00%,3,,200.00%,2,,-50.00%,16,,45.50%,87,,-131,95.70%,,13.60%
"Ashaway, RI",Feb-14,$210K,16.70%,,1,-66.70%,,3,50.00%,,17,6.30%,,53,-34,,95.90%,0.20%,
"Ashaway, RI",Mar-14,$114K,-45.80%,103.50%,2,100.00%,100.00%,3,0.00%,50.00%,16,-5.90%,33.30%,138,85,122,102.30%,6.40%,2.30%
"Ashaway, RI",Apr-14,$188K,64.80%,-38.50%,2,0.00%,-33.30%,4,33.30%,-33.30%,16,0.00%,23.10%,171,33,36,90.40%,-12.00%,-6.10%
"Ashaway, RI",May-14,$243K,29.60%,70.50%,1,-50.00%,-50.00%,4,0.00%,33.30%,16,0.00%,14.30%,59,-112,47,95.30%,4.90%,1.90%
"Ashaway, RI",Jun-14,$140K,-42.60%,-9.90%,2,100.00%,-50.00%,2,-50.00%,-50.00%,15,-6.30%,-11.80%,78,19,15,97.10%,1.90%,5.70%
"Ashaway, RI",Jul-14,$154K,10.30%,25.70%,3,50.00%,200.00%,4,100.00%,300.00%,18,20.00%,5.90%,14,-64,-48,97.80%,0.60%,3.50%
"Ashaway, RI",Aug-14,$190K,23.40%,59.70%,1,-66.70%,-50.00%,3,-25.00%,-25.00%,18,0.00%,12.50%,197,183,-102,100.00%,2.20%,3.30%
"Ashaway, RI",Sep-14,$102K,-46.30%,-44.60%,1,0.00%,-50.00%,3,0.00%,0.00%,15,-16.70%,-6.30%,346,149,280,68.00%,-32.00%,-24.40%
"Ashaway, RI",Oct-14,$182K,77.90%,-20.90%,2,100.00%,-33.30%,5,66.70%,25.00%,18,20.00%,5.90%,67,-279,-52,98.00%,29.90%,8.90%
"Ashaway, RI",Nov-14,$212K,16.70%,-31.70%,1,-50.00%,0.00%,3,-40.00%,50.00%,19,5.60%,11.80%,9,-58,-129,96.70%,-1.30%,5.50%
"Ashaway, RI",Jan-15,$133K,,-26.10%,2,,-33.30%,4,,100.00%,21,,31.30%,380,,293,90.00%,,-5.70%
"Ashaway, RI",Mar-15,$227K,,99.60%,3,,50.00%,6,,100.00%,21,,31.30%,27,,-111,93.50%,,-8.80%
"Ashaway, RI",Apr-15,$171K,-24.90%,-9.10%,2,-33.30%,0.00%,2,-66.70%,-50.00%,18,-14.30%,12.50%,122,95,-49,101.10%,7.60%,10.80%
"Ashaway, RI",May-15,$276K,61.90%,13.60%,1,-50.00%,0.00%,6,200.00%,50.00%,19,5.60%,18.80%,205,83,146,92.30%,-8.80%,-3.00%
"Ashaway, RI",Jun-15,$186K,-32.60%,33.20%,4,300.00%,100.00%,3,-50.00%,50.00%,18,-5.30%,20.00%,182,-23,104,99.50%,7.20%,2.40%
"Ashaway, RI",Jul-15,$210K,12.90%,36.40%,3,-25.00%,0.00%,2,-33.30%,-50.00%,14,-22.20%,-22.20%,231,49,217,89.60%,-9.90%,-8.20%
"Ashaway, RI",Aug-15,$225K,7.10%,18.40%,3,0.00%,200.00%,2,0.00%,-33.30%,13,-7.10%,-27.80%,156,-75,-41,96.50%,6.90%,-3.50%
"Ashaway, RI",Sep-15,$183K,-18.90%,78.90%,4,33.30%,300.00%,4,100.00%,33.30%,12,-7.70%,-20.00%,149,-7,-197,95.90%,-0.60%,27.80%
"Ashaway, RI",Oct-15,$240K,31.50%,32.20%,3,-25.00%,50.00%,1,-75.00%,-80.00%,8,-33.30%,-55.60%,284,135,217,98.20%,2.30%,0.20%
"Ashaway, RI",Nov-15,$160K,-33.40%,-24.50%,5,66.70%,400.00%,2,100.00%,-33.30%,7,-12.50%,-63.20%,58,-226,49,94.10%,-4.20%,-2.60%
"Ashaway, RI",Dec-15,$150K,-6.20%,,3,-40.00%,,3,50.00%,,9,28.60%,,66,8,,98.10%,4.00%,
"Ashaway, RI",Jan-16,$152K,1.30%,14.30%,1,-66.70%,-50.00%,4,33.30%,0.00%,10,11.10%,-52.40%,24,-42,-356,101.40%,3.30%,11.40%
"Ashaway, RI",Feb-16,$350K,130.30%,,1,0.00%,,,,,8,-20.00%,,239,215,,100.00%,-1.40%,
"Ashaway, RI",Mar-16,$287K,-18.00%,26.40%,1,0.00%,-66.70%,4,,-33.30%,11,37.50%,-47.60%,268,29,241,98.30%,-1.70%,4.80%
"Ashaway, RI",Apr-16,$243K,-15.50%,42.20%,2,100.00%,0.00%,5,25.00%,150.00%,11,0.00%,-38.90%,92,-176,-30,99.00%,0.80%,-2.10%
"Ashaway, RI",May-16,$217K,-10.40%,-21.30%,2,0.00%,100.00%,2,-60.00%,-66.70%,9,-18.20%,-52.60%,60,-32,-145,96.10%,-2.90%,3.80%
"Ashaway, RI",Jun-16,$257K,18.30%,38.20%,4,100.00%,0.00%,4,100.00%,33.30%,11,22.20%,-38.90%,66,6,-116,92.10%,-4.00%,-7.40%
"Ashaway, RI",Jul-16,$196K,-23.80%,-6.70%,3,-25.00%,0.00%,2,-50.00%,0.00%,11,0.00%,-21.40%,204,138,-27,92.40%,0.30%,2.80%
"Ashaway, RI",Aug-16,$243K,24.00%,8.00%,1,-66.70%,-66.70%,4,100.00%,100.00%,13,18.20%,0.00%,77,-127,-79,97.20%,4.80%,0.80%
"Ashaway, RI",Sep-16,$123K,-49.40%,-32.60%,1,0.00%,-75.00%,,,,11,-15.40%,-8.30%,76,-1,-73,82.10%,-15.20%,-13.80%
"Ashaway, RI",Oct-16,$227K,84.90%,-5.20%,4,300.00%,33.30%,,,,8,-27.30%,0.00%,94,18,-190,97.00%,14.90%,-1.20%
"Ashaway, RI",Dec-16,$243K,,61.70%,2,,-33.30%,1,,-66.70%,5,,-44.40%,134,,68,93.80%,,-4.30%
"Ashaway, RI",Jan-17,$212K,-12.40%,39.80%,2,0.00%,100.00%,1,0.00%,-75.00%,3,-40.00%,-70.00%,119,-15,95,97.10%,3.30%,-4.30%
"Ashaway, RI",Mar-17,$149K,,-48.20%,2,,100.00%,3,,-25.00%,5,,-54.50%,210,,-58,96.40%,,-1.90%
"Ashaway, RI",Apr-17,$275K,85.10%,13.40%,1,-50.00%,-50.00%,2,-33.30%,-60.00%,6,20.00%,-45.50%,175,-35,83,98.50%,2.10%,-0.60%
"Ashaway, RI",Jun-17,$260K,,1.20%,2,,-50.00%,2,,-50.00%,4,,-63.60%,52,,-14,111.30%,,19.20%
"Ashaway, RI",Jul-17,$155K,-40.40%,-20.90%,5,150.00%,66.70%,2,0.00%,0.00%,4,0.00%,-63.60%,90,38,-114,92.40%,-18.90%,-0.10%
"Ashaway, RI",Aug-17,$265K,70.90%,9.00%,1,-80.00%,0.00%,2,0.00%,-50.00%,4,0.00%,-69.20%,36,-54,-41,101.90%,9.60%,4.70%
"Ashaway, RI",Sep-17,$325K,22.70%,164.20%,1,0.00%,0.00%,,,,3,-25.00%,-72.70%,116,80,40,95.90%,-6.10%,13.80%
"Ashaway, RI",Oct-17,$110K,-66.20%,-51.60%,1,0.00%,-75.00%,4,,,6,100.00%,-25.00%,46,-70,-48,101.90%,6.00%,4.90%
"Ashaway, RI",Nov-17,$208K,89.50%,,1,0.00%,,2,-50.00%,,7,16.70%,,28,-18,,97.00%,-4.90%,
"Ashaway, RI",Jan-18,$155K,,-27.00%,1,,-50.00%,1,,0.00%,5,,66.70%,154,,35,96.90%,,-0.10%
"Ashaway, RI",Mar-18,$320K,,115.40%,1,,-50.00%,1,,-66.70%,5,,0.00%,77,,-133,97.00%,,0.60%
"Ashaway, RI",Apr-18,$215K,-32.80%,-21.80%,1,0.00%,0.00%,4,300.00%,100.00%,8,60.00%,33.30%,28,-49,-147,100.00%,3.00%,1.50%
"Ashaway, RI",May-18,$264K,22.70%,,2,100.00%,,2,-50.00%,,6,-25.00%,,208,180,,97.10%,-2.90%,
"Ashaway, RI",Jun-18,$225K,-14.70%,-13.50%,2,0.00%,0.00%,4,100.00%,100.00%,8,33.30%,100.00%,41,-167,-11,104.20%,7.10%,-7.10%
"Ashaway, RI",Jul-18,$265K,17.80%,71.00%,3,50.00%,-40.00%,4,0.00%,100.00%,8,0.00%,100.00%,42,1,-48,96.00%,-8.20%,3.60%
"Ashaway, RI",Aug-18,$256K,-3.40%,-3.40%,3,0.00%,200.00%,,,,6,-25.00%,50.00%,207,165,171,95.10%,-0.90%,-6.80%
"Ashaway, RI",Sep-18,$251K,-2.10%,-22.90%,2,-33.30%,100.00%,2,,,6,0.00%,100.00%,71,-136,-45,101.20%,6.20%,5.40%
"Ashaway, RI",Oct-18,$306K,22.00%,177.70%,1,-50.00%,0.00%,3,50.00%,-25.00%,9,50.00%,50.00%,59,-12,13,97.00%,-4.30%,-4.90%
"Ashaway, RI",Nov-18,$275K,-10.00%,32.00%,1,0.00%,0.00%,3,0.00%,50.00%,11,22.20%,57.10%,66,7,38,98.60%,1.60%,1.60%
"Ashaway, RI",Jan-19,$326K,,110.30%,4,,300.00%,,,,6,,20.00%,48,,-106,95.90%,,-1.10%
"Ashaway, RI",Feb-19,$215K,-34.00%,,1,-75.00%,,3,,,5,-16.70%,,152,104,,90.00%,-5.90%,
"Ashaway, RI",Mar-19,$260K,20.90%,-18.80%,3,200.00%,200.00%,1,-66.70%,0.00%,4,-20.00%,-20.00%,104,-48,27,93.10%,3.20%,-3.90%
"Ashaway, RI",Apr-19,$272K,4.60%,26.50%,3,0.00%,200.00%,3,200.00%,-25.00%,4,0.00%,-50.00%,54,-50,26,101.30%,8.20%,1.30%
"Ashaway, RI",May-19,$229K,-15.80%,-13.20%,2,-33.30%,0.00%,2,-33.30%,0.00%,4,0.00%,-33.30%,39,-15,-169,97.40%,-3.90%,0.40%
"Ashaway, RI",Jun-19,$149K,-35.00%,-33.90%,2,0.00%,0.00%,3,50.00%,-25.00%,5,25.00%,-37.50%,47,8,6,96.60%,-0.80%,-7.50%
"Ashaway, RI",Jul-19,$225K,51.20%,-15.10%,2,0.00%,-33.30%,1,-66.70%,-75.00%,6,20.00%,-25.00%,195,148,153,97.60%,1.00%,1.70%
"Ashaway, RI",Aug-19,$350K,55.60%,36.70%,1,-50.00%,-66.70%,2,100.00%,,7,16.70%,16.70%,78,-117,-129,100.00%,2.40%,4.90%
"Ashaway, RI",Oct-19,$226K,,-26.00%,2,,100.00%,1,,-66.70%,9,,0.00%,36,,-23,96.20%,,-0.80%
"Ashaway, RI",Dec-19,$277K,,,2,,,2,,,6,,,128,,,99.10%,,
"Ashaway, RI",Feb-20,$349K,,62.30%,3,,200.00%,3,,0.00%,7,,40.00%,21,,-131,97.70%,,7.70%
"Ashaway, RI",Mar-20,$225K,-35.50%,-13.50%,1,-66.70%,-66.70%,,,,5,-28.60%,25.00%,57,36,-47,94.10%,-3.50%,1.00%
"Ashaway, RI",Apr-20,$233K,3.60%,-14.30%,1,0.00%,-66.70%,4,,33.30%,7,40.00%,75.00%,292,235,238,99.20%,5.00%,-2.10%
"Ashaway, RI",May-20,$232K,-0.60%,1.10%,2,100.00%,0.00%,1,-75.00%,-50.00%,5,-28.60%,25.00%,136,-156,97,101.80%,2.60%,4.30%
"Ashaway, RI",Jun-20,$245K,5.80%,64.70%,3,50.00%,50.00%,,,,,,,61,-75,14,98.50%,-3.30%,1.90%
"Ashaway, RI",Jul-20,$227K,-7.40%,0.90%,2,-33.30%,0.00%,3,,200.00%,3,,-50.00%,130,69,-65,100.80%,2.30%,3.20%
"Ashaway, RI",Aug-20,$290K,27.80%,-17.10%,3,50.00%,200.00%,6,100.00%,200.00%,4,33.30%,-42.90%,45,-85,-33,96.10%,-4.70%,-3.90%
"Ashaway, RI",Sep-20,$350K,20.70%,,5,66.70%,,1,-83.30%,,1,-75.00%,,35,-10,,98.30%,2.20%,
"Ashaway, RI",Nov-20,$292K,,,4,,,1,,,1,,,12,,,104.50%,,
"Ashaway, RI",Dec-20,$245K,-16.20%,-11.70%,4,0.00%,100.00%,,,,,,,16,4,-112,88.70%,-15.70%,-10.30%
"Ashaway, RI",Jan-21,$394K,60.80%,,1,-75.00%,,2,,,1,,,38,22,,93.00%,4.20%,
"Ashaway, RI",Feb-21,$400K,1.60%,14.60%,1,0.00%,-66.70%,1,-50.00%,-66.70%,1,0.00%,-85.70%,10,-28,-11,105.40%,12.40%,7.70%
"Ashaway, RI",Mar-21,$250K,-37.50%,11.10%,2,100.00%,100.00%,5,400.00%,,2,100.00%,-60.00%,42,32,-15,99.20%,-6.20%,5.10%
"Ashaway, RI",Apr-21,$418K,67.30%,79.50%,2,0.00%,100.00%,3,-40.00%,-25.00%,3,50.00%,-57.10%,20,-22,-272,99.70%,0.40%,0.50%
"Ashaway, RI",May-21,$366K,-12.40%,58.20%,4,100.00%,100.00%,3,0.00%,200.00%,3,0.00%,-40.00%,25,5,-111,102.90%,3.20%,1.10%
"Ashaway, RI",Jun-21,$350K,-4.40%,42.90%,2,-50.00%,-33.30%,2,-33.30%,,4,33.30%,,19,-6,-42,100.80%,-2.00%,2.30%
"Ashaway, RI",Jul-21,$630K,80.00%,177.60%,1,-50.00%,-50.00%,3,50.00%,0.00%,5,25.00%,66.70%,97,78,-33,96.20%,-4.60%,-4.60%
"Ashaway, RI",Aug-21,$381K,-39.50%,31.40%,2,100.00%,-33.30%,4,33.30%,-33.30%,4,-20.00%,0.00%,71,-26,26,98.60%,2.50%,2.50%
"Ashaway, RI",Sep-21,$320K,-16.00%,-8.60%,3,50.00%,-40.00%,1,-75.00%,0.00%,2,-50.00%,100.00%,48,-23,13,101.10%,2.50%,2.80%
"Ashaway, RI",Oct-21,$323K,0.80%,,2,-33.30%,,3,200.00%,,5,150.00%,,50,2,,92.70%,-8.30%,
"Ashaway, RI",Nov-21,$325K,0.70%,11.10%,3,50.00%,-25.00%,1,-66.70%,0.00%,1,-80.00%,0.00%,43,-7,31,100.20%,7.40%,-4.30%
"Ashaway, RI",Dec-21,$370K,13.80%,51.00%,4,33.30%,0.00%,1,0.00%,,2,100.00%,,11,-32,-5,103.00%,2.80%,14.20%
"Ashaway, RI",Jan-22,$365K,-1.40%,-7.30%,1,-75.00%,0.00%,,,,1,-50.00%,0.00%,86,75,48,100.00%,-2.90%,7.10%
"Ashaway, RI",Feb-22,$355K,-2.70%,-11.30%,1,0.00%,0.00%,,,,,,,55,-31,45,100.00%,0.00%,-5.40%
"Ashaway, RI",Apr-22,$323K,,-22.90%,2,,0.00%,3,,0.00%,3,,0.00%,8,,-12,103.40%,,3.70%
"Ashaway, RI",May-22,$970K,200.80%,164.80%,1,-50.00%,-75.00%,7,133.30%,133.30%,6,100.00%,100.00%,29,21,4,104.90%,1.50%,2.00%
"Ashaway, RI",Jun-22,$390K,-59.80%,11.40%,1,0.00%,-50.00%,2,-71.40%,0.00%,5,-16.70%,25.00%,27,-2,8,88.70%,-16.20%,-12.20%
"Ashaway, RI",Jul-22,$445K,14.10%,-29.40%,5,400.00%,400.00%,3,50.00%,0.00%,7,40.00%,40.00%,17,-10,-80,101.20%,12.50%,5.00%
"Ashaway, RI",Aug-22,$535K,20.20%,40.40%,1,-80.00%,-50.00%,2,-33.30%,-50.00%,5,-28.60%,25.00%,34,17,-37,97.40%,-3.70%,-1.20%
"Ashaway, RI",Sep-22,$191K,-64.30%,-40.30%,1,0.00%,-66.70%,2,0.00%,100.00%,4,-20.00%,100.00%,36,2,-12,106.50%,9.10%,5.40%
"Ashaway, RI",Oct-22,$401K,110.10%,24.40%,4,300.00%,100.00%,,,,1,-75.00%,-80.00%,84,48,34,96.30%,-10.20%,3.60%
"Ashaway, RI",Nov-22,$380K,-5.40%,16.80%,4,0.00%,33.30%,,,,,,,40,-44,-3,97.80%,1.50%,-2.40%
"Ashaway, RI",Jan-23,$195K,,-46.60%,1,,0.00%,1,,,1,,0.00%,9,,-77,130.90%,,30.80%
"Ashaway, RI",Feb-23,$707K,262.60%,99.20%,1,0.00%,0.00%,2,100.00%,,2,100.00%,,2,-7,-53,118.00%,-12.80%,18.00%
"Ashaway, RI",Mar-23,$450K,-36.40%,,1,0.00%,,2,0.00%,,3,50.00%,,4,2,,112.80%,-5.20%,
"Ashaway, RI",Apr-23,$327K,-27.30%,1.40%,2,100.00%,0.00%,1,-50.00%,-66.70%,2,-33.30%,-33.30%,51,47,43,102.20%,-10.60%,-1.20%
"Ashaway, RI",May-23,$498K,52.40%,-48.60%,2,0.00%,100.00%,,,,1,-50.00%,-83.30%,64,13,35,110.90%,8.70%,6.00%
"Ashaway, RI",Jun-23,$415K,-16.70%,6.40%,1,-50.00%,0.00%,1,,-50.00%,1,0.00%,-80.00%,61,-3,34,88.80%,-22.10%,0.10%
"Ashaway, RI",Aug-23,$522K,,-2.40%,1,,0.00%,2,,0.00%,2,,-60.00%,20,,-14,99.40%,,2.00%
"Ashaway, RI",Sep-23,$358K,-31.40%,87.40%,2,100.00%,100.00%,,,,1,-50.00%,-75.00%,9,-11,-27,99.50%,0.10%,-7.00%
"Ashaway, RI",Oct-23,$405K,13.10%,0.90%,1,-50.00%,-75.00%,1,,,2,100.00%,100.00%,96,87,12,101.30%,1.80%,5.00%
"Ashaway, RI",Jan-24,$235K,,20.50%,3,,200.00%,,,,1,,0.00%,6,,-3,102.20%,,-28.60%
"Ashaway, RI",Mar-24,$435K,,-3.30%,1,,0.00%,2,,0.00%,3,,0.00%,213,,209,103.60%,,-9.20%
"Ashaway, RI",May-24,$414K,,-16.90%,2,,0.00%,3,,,4,,300.00%,11,,-53,106.70%,,-4.20%
"Ashaway, RI",Jun-24,$446K,7.70%,7.50%,2,0.00%,100.00%,1,-66.70%,0.00%,3,-25.00%,200.00%,24,13,-37,102.10%,-4.60%,13.30%
"Barrington, RI",Jan-12,$258K,7.60%,-15.40%,11,-8.30%,10.00%,21,90.90%,75.00%,119,0.00%,4.40%,69,-219,-14,90.70%,-0.20%,-0.70%
"Barrington, RI",Feb-12,$319K,23.60%,-24.00%,11,0.00%,0.00%,26,23.80%,18.20%,117,-1.70%,-1.70%,123,54,-2,92.00%,1.30%,-0.80%
"Barrington, RI",Mar-12,$190K,-40.40%,-40.70%,13,18.20%,-35.00%,43,65.40%,-12.20%,123,5.10%,-10.90%,113,-10,-33,90.10%,-1.90%,-1.80%
"Barrington, RI",Apr-12,$325K,71.00%,5.80%,16,23.10%,77.80%,39,-9.30%,-31.60%,113,-8.10%,-31.10%,61,-52,-14,94.60%,4.40%,1.00%
"Barrington, RI",May-12,$305K,-6.10%,-14.10%,24,50.00%,-7.70%,46,17.90%,17.90%,123,8.80%,-24.10%,50,-11,-89,94.30%,-0.30%,0.50%
"Barrington, RI",Jun-12,$413K,35.20%,13.00%,46,91.70%,70.40%,33,-28.30%,-2.90%,131,6.50%,-18.10%,93,43,39,94.20%,-0.10%,0.10%
"Barrington, RI",Jul-12,$348K,-15.80%,-4.70%,29,-37.00%,-3.30%,25,-24.20%,-21.90%,117,-10.70%,-26.90%,43,-50,-28,95.60%,1.30%,1.90%
"Barrington, RI",Aug-12,$438K,26.00%,-0.50%,26,-10.30%,-21.20%,28,12.00%,0.00%,120,2.60%,-24.10%,82,39,25,93.80%,-1.80%,-0.60%
"Barrington, RI",Sep-12,$295K,-32.60%,-47.60%,19,-26.90%,-5.00%,28,0.00%,0.00%,118,-1.70%,-22.40%,66,-16,-69,93.70%,-0.10%,0.90%
"Barrington, RI",Oct-12,$287K,-2.90%,-6.40%,19,0.00%,72.70%,30,7.10%,20.00%,110,-6.80%,-25.70%,48,-18,-46,94.80%,1.10%,0.70%
"Barrington, RI",Nov-12,$306K,6.90%,3.80%,26,36.80%,23.80%,17,-43.30%,13.30%,102,-7.30%,-20.90%,74,26,-29,94.90%,0.10%,0.10%
"Barrington, RI",Dec-12,$310K,1.20%,29.30%,19,-26.90%,58.30%,10,-41.20%,-9.10%,91,-10.80%,-23.50%,95,21,-193,94.80%,-0.10%,3.90%
"Barrington, RI",Jan-13,$325K,4.80%,26.00%,15,-21.10%,36.40%,14,40.00%,-33.30%,86,-5.50%,-27.70%,120,25,51,94.40%,-0.40%,3.70%
"Barrington, RI",Feb-13,$320K,-1.50%,0.30%,13,-13.30%,18.20%,21,50.00%,-19.20%,83,-3.50%,-29.10%,89,-31,-34,95.70%,1.30%,3.70%
"Barrington, RI",Mar-13,$367K,14.70%,93.20%,13,0.00%,0.00%,26,23.80%,-39.50%,84,1.20%,-31.70%,103,14,-10,94.30%,-1.30%,4.20%
"Barrington, RI",Apr-13,$290K,-21.00%,-10.80%,16,23.10%,0.00%,63,142.30%,61.50%,111,32.10%,-1.80%,97,-6,36,96.70%,2.30%,2.10%
"Barrington, RI",May-13,$325K,12.10%,6.60%,29,81.30%,20.80%,53,-15.90%,15.20%,120,8.10%,-2.40%,57,-40,7,95.40%,-1.20%,1.10%
"Barrington, RI",Jun-13,$397K,22.20%,-3.70%,35,20.70%,-23.90%,35,-34.00%,6.10%,118,-1.70%,-9.90%,29,-28,-64,96.30%,0.90%,2.10%
"Barrington, RI",Jul-13,$375K,-5.60%,7.90%,43,22.90%,48.30%,29,-17.10%,16.00%,122,3.40%,4.30%,35,6,-8,95.20%,-1.10%,-0.40%
"Barrington, RI",Aug-13,$362K,-3.50%,-17.40%,37,-14.00%,42.30%,29,0.00%,3.60%,131,7.40%,9.20%,40,5,-42,95.00%,-0.20%,1.10%
"Barrington, RI",Sep-13,$299K,-17.40%,1.40%,7,-81.10%,-63.20%,33,13.80%,17.90%,141,7.60%,19.50%,79,39,13,96.40%,1.40%,2.70%
"Barrington, RI",Oct-13,$397K,32.60%,38.40%,10,42.90%,-47.40%,21,-36.40%,-30.00%,127,-9.90%,15.50%,92,13,44,92.50%,-3.90%,-2.40%
"Barrington, RI",Nov-13,$292K,-26.40%,-4.70%,19,90.00%,-26.90%,12,-42.90%,-29.40%,112,-11.80%,9.80%,122,30,48,94.60%,2.10%,-0.30%
"Barrington, RI",Dec-13,$385K,31.80%,24.20%,19,0.00%,0.00%,12,0.00%,20.00%,100,-10.70%,9.90%,98,-24,3,96.00%,1.40%,1.20%
"Barrington, RI",Jan-14,$280K,-27.30%,-13.80%,9,-52.60%,-40.00%,18,50.00%,28.60%,100,0.00%,16.30%,104,6,-16,96.50%,0.50%,2.10%
"Barrington, RI",Feb-14,$460K,64.30%,43.80%,7,-22.20%,-46.20%,30,66.70%,42.90%,118,18.00%,42.20%,153,49,64,93.90%,-2.60%,-1.80%
"Barrington, RI",Mar-14,$375K,-18.50%,2.20%,13,85.70%,0.00%,57,90.00%,119.20%,153,29.70%,82.10%,140,-13,37,97.30%,3.40%,2.90%
"Barrington, RI",Apr-14,$372K,-0.90%,28.10%,20,53.80%,25.00%,46,-19.30%,-27.00%,162,5.90%,45.90%,75,-65,-22,96.30%,-1.00%,-0.40%
"Barrington, RI",May-14,$385K,3.50%,18.30%,20,0.00%,-31.00%,53,15.20%,0.00%,175,8.00%,45.80%,66,-9,9,95.80%,-0.50%,0.40%
"Barrington, RI",Jun-14,$385K,0.10%,-3.00%,45,125.00%,28.60%,54,1.90%,54.30%,190,8.60%,61.00%,58,-8,29,95.90%,0.00%,-0.50%
"Barrington, RI",Jul-14,$435K,13.00%,16.00%,34,-24.40%,-20.90%,35,-35.20%,20.70%,191,0.50%,56.60%,70,12,35,95.10%,-0.70%,-0.10%
"Barrington, RI",Aug-14,$370K,-14.90%,2.20%,33,-2.90%,-10.80%,23,-34.30%,-20.70%,173,-9.40%,32.10%,94,24,54,95.60%,0.50%,0.60%
"Barrington, RI",Sep-14,$388K,4.70%,29.60%,20,-39.40%,185.70%,27,17.40%,-18.20%,159,-8.10%,12.80%,76,-18,-3,96.00%,0.40%,-0.30%
"Barrington, RI",Oct-14,$420K,8.40%,5.90%,23,15.00%,130.00%,23,-14.80%,9.50%,161,1.30%,26.80%,109,33,17,94.90%,-1.10%,2.40%
"Barrington, RI",Nov-14,$323K,-23.00%,10.70%,11,-52.20%,-42.10%,15,-34.80%,25.00%,147,-8.70%,31.30%,111,2,-11,95.00%,0.10%,0.40%
"Barrington, RI",Dec-14,$315K,-2.50%,-18.20%,21,90.90%,10.50%,11,-26.70%,-8.30%,119,-19.00%,19.00%,119,8,21,95.80%,0.80%,-0.20%
"Barrington, RI",Jan-15,$334K,5.90%,19.10%,14,-33.30%,55.60%,22,100.00%,22.20%,118,-0.80%,18.00%,184,65,80,94.40%,-1.40%,-2.10%
"Barrington, RI",Feb-15,$395K,18.40%,-14.10%,13,-7.10%,85.70%,32,45.50%,6.70%,129,9.30%,9.30%,107,-77,-46,95.00%,0.60%,1.20%
